experiment,scenario,scheme,x_name,x_value,n_phys,n_active,snr_db,jsr_db,channel,csi_nmse_db,sync_error_prob,jammer_est_error_db,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,collision_variance_sum,max_symbol_collision_sum,adjacent_overlap_sum,detected_collisions,false_alarms,positive_symbols,negative_symbols,posterior_collision_sum,sync_error_symbols,ber,ber_ci_low,ber_ci_high,fer,collision_rate,collision_variance,max_symbol_collision,adjacent_overlap,pd,pfa,mean_posterior,elapsed_s,ms_per_frame
delay_ablation,reactive_d3,mc4_k7,delay,3,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,295,101200,54,200,4797,102400,0.8324699401855469,31.578125,0.0,3734,617,4797,97603,6910.863971777346,0,0.00291501976284585,0.0026012007918351067,0.003266575077743173,0.27,0.046845703125,0.004162349700927734,0.157890625,0.0,0.778403168647071,0.006321527002243784,0.06748890597438814,0.7773018329999957,3.8865091649999783
delay_ablation,reactive_d3,mc6_k7,delay,3,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,295,101200,54,200,4797,102400,0.8324699401855469,31.578125,0.0,3734,614,4797,97603,6910.360416947361,0,0.00291501976284585,0.0026012007918351067,0.003266575077743173,0.27,0.046845703125,0.004162349700927734,0.157890625,0.0,0.778403168647071,0.006290790242103214,0.06748398844675157,0.7766132909999897,3.8830664549999483
delay_ablation,reactive_d4,random_k7,delay,4,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,943,101200,122,200,12896,102400,0.26877593994140625,36.515625,24.921875,9883,505,12896,89504,12814.219988085757,0,0.009318181818181817,0.008744567744516834,0.009929046137913315,0.61,0.1259375,0.0013438796997070313,0.182578125,0.124609375,0.7663616625310173,0.0056422059349302825,0.12513886707114996,0.7552140840000163,3.7760704200000816
delay_ablation,reactive_d4,mc1_k7,delay,4,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,1021,101200,111,200,12809,102400,0.2566947937011719,36.515625,0.0,9879,564,12809,89591,12807.03728589409,0,0.01008893280632411,0.009491546293744029,0.010723511053196067,0.555,0.125087890625,0.0012834739685058593,0.182578125,0.0,0.7712545866187837,0.006295275195053075,0.1250687234950595,0.775522957999982,3.8776147899999103
delay_ablation,reactive_d4,mc2_k7,delay,4,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,1201,101200,122,200,13484,102400,0.26653289794921875,37.75,0.0,10390,558,13484,88916,13294.505764126869,0,0.011867588932806324,0.011218687133958545,0.012553547438773736,0.61,0.1316796875,0.0013326644897460938,0.18875,0.0,0.7705428656185108,0.006275585946286383,0.12982915785280144,0.7750009999999747,3.8750049999998737
delay_ablation,reactive_d4,mc4_k7,delay,4,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,539,101200,71,200,6527,102400,0.9444236755371094,33.59375,0.0,5011,589,6527,95873,8145.370342323821,0,0.005326086956521739,0.0048960412692562166,0.005793685950840359,0.355,0.063740234375,0.004722118377685547,0.16796875,0.0,0.7677340278841734,0.0061435440635006725,0.07954463224925606,0.7748842080000031,3.8744210400000156
delay_ablation,reactive_d4,mc6_k7,delay,4,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,539,101200,71,200,6527,102400,0.9444236755371094,33.59375,0.0,5011,606,6527,95873,8151.13871568276,0,0.005326086956521739,0.0048960412692562166,0.005793685950840359,0.355,0.063740234375,0.004722118377685547,0.16796875,0.0,0.7677340278841734,0.006320861973652644,0.07960096402033946,0.7721737079999969,3.8608685399999843
delay_ablation,reactive_d5,random_k7,delay,5,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,1135,101200,122,200,12724,102400,0.24654388427734375,35.890625,24.850446428571423,9750,579,12724,89676,12669.591027019096,0,0.011215415019762845,0.010584906987845335,0.011883029268763147,0.61,0.1242578125,0.0012327194213867187,0.179453125,0.12425223214285712,0.7662684690348947,0.00645657701057139,0.12372647487323336,0.7479377079999949,3.7396885399999746
delay_ablation,reactive_d5,mc1_k7,delay,5,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,1024,101200,116,200,12723,102400,0.2619667053222656,36.484375,0.0,9863,548,12723,89677,12750.963519844234,0,0.010118577075098814,0.009520295217773294,0.010754048416263338,0.58,0.124248046875,0.0013098335266113282,0.182421875,0.0,0.7752102491550735,0.006110819942683185,0.12452112812347885,0.7734851670000182,3.867425835000091
delay_ablation,reactive_d5,mc2_k7,delay,5,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,981,101200,116,200,12398,102400,0.2566680908203125,35.421875,0.0,9631,537,12398,90002,12529.994989253952,0,0.009693675889328063,0.009108359089928903,0.010316214429057375,0.58,0.12107421875,0.0012833404541015626,0.177109375,0.0,0.7768188417486691,0.0059665340770205105,0.12236323231693312,0.7849935419999952,3.924967709999976
